"ags_county";"name";"n";"mean";"sum"
"01001";"Flensburg, Stadt";192;462,378177083333;88776,61
"01002";"Kiel, Landeshauptstadt";441;508,983548752834;224461,745
"01003";"Lübeck, Hansestadt";273;54,3654798534799;14841,776
"01004";"Neumünster, Stadt";153;44,0461437908497;6739,06
"01051";"Dithmarschen";3233;431,062720692855;1393625,776
"01053";"Herzogtum Lauenburg";884;60,6407047511312;53606,383
"01054";"Nordfriesland";3152;350,043100571066;1103335,853
"01055";"Ostholstein";1533;199,763981082844;306238,183
"01056";"Pinneberg";1075;42,7841525581395;45992,964
"01057";"Plön";679;86,8398055964654;58964,228
"01058";"Rendsburg-Eckernförde";1816;248,417454295154;451126,097
"01059";"Schleswig-Flensburg";2709;217,038009228498;587955,967
"01060";"Segeberg";1079;147,391245597776;159035,154
"01061";"Steinburg";963;313,422053997923;301825,438
"01062";"Stormarn";772;58,5945142487047;45234,965
"02000";"Hamburg, Freie und Hansestadt";1461;114,933911704312;167918,445
"03101";"Braunschweig, Stadt";312;59,7963365384615;18656,457
"03102";"Salzgitter, Stadt";216;1648,21046296296;356013,46
"03103";"Wolfsburg, Stadt";499;857,051016032064;427668,457
"03151";"Gifhorn";1584;77,0703920454545;122079,501
"03153";"Goslar";632;57,491371835443;36334,547
"03154";"Helmstedt";545;265,541055045872;144719,875
"03155";"Northeim";1076;68,83618866171;74067,739
"03157";"Peine";1103;53,4191033544878;58921,271
"03158";"Wolfenbüttel";861;53,1430278745645;45756,147
"03159";"Göttingen";2652;69,5101025641026;184340,792
"03241";"Region Hannover";3328;61,5622836538462;204879,28
"03251";"Diepholz";3228;181,491801115242;585855,534
"03252";"Hameln-Pyrmont";689;247,896431059507;170800,641
"03254";"Hildesheim";1505;70,5852877076412;106230,858
"03255";"Holzminden";286;133,311608391608;38127,12
"03256";"Nienburg (Weser)";957;183,936928944619;176027,641
"03257";"Schaumburg";932;40,0879484978541;37361,968
"03351";"Celle";1147;101,906559721011;116886,824
"03352";"Cuxhaven";1285;192,90540311284;247883,443
"03353";"Harburg";1273;91,1403228593873;116021,631
"03354";"Lüchow-Dannenberg";489;65,9973415132924;32272,7
"03355";"Lüneburg";817;82,3063255813953;67244,268
"03356";"Osterholz";581;65,6024371772805;38115,016
"03357";"Rotenburg (Wümme)";1640;269,036449390244;441219,777
"03358";"Heidekreis";904;270,683668141593;244698,036
"03359";"Stade";1415;235,279207773852;332920,079
"03360";"Uelzen";608;150,069514802632;91242,265
"03361";"Verden";1065;114,391492018779;121826,939
"03401";"Delmenhorst, Stadt";161;22,0628260869565;3552,115
"03402";"Emden, Stadt";209;76,5205358851675;15992,792
"03403";"Oldenburg (Oldenburg), Stadt";483;80,5214368530021;38891,854
"03404";"Osnabrück, Stadt";760;27,9938815789474;21275,35
"03405";"Wilhelmshaven, Stadt";129;382,174635658915;49300,528
"03451";"Ammerland";801;315,266881398252;252528,772
"03452";"Aurich";1727;286,250646786335;494354,867
"03453";"Cloppenburg";2195;172,726796810934;379135,319
"03454";"Emsland";3641;202,565224938204;737539,984
"03455";"Friesland";701;320,35455064194;224568,54
"03456";"Grafschaft Bentheim";1311;138,340214340198;181364,021
"03457";"Leer";1055;155,455377251185;164005,423
"03458";"Oldenburg";1366;164,822696925329;225147,804
"03459";"Osnabrück";2885;104,802549393414;302355,355
"03460";"Vechta";1303;127,705646201074;166400,457
"03461";"Wesermarsch";798;321,642192982456;256670,47
"03462";"Wittmund";636;281,549172955975;179065,274
"04011";"Bremen, Stadt";919;113,2088781284;104038,959
"04012";"Bremerhaven, Stadt";251;202,145665338645;50738,562
"05111";"Düsseldorf, Stadt";458;106,285622270742;48678,815
"05112";"Duisburg, Stadt";403;1688,69744913151;680545,072
"05113";"Essen, Stadt";1320;18,7898257575758;24802,57
"05114";"Krefeld, Stadt";395;47,5251746835443;18772,444
"05116";"Mönchengladbach, Stadt";406;58,0205221674877;23556,332
"05117";"Mülheim an der Ruhr, Stadt";580;54,5235568965517;31623,663
"05119";"Oberhausen, Stadt";626;79,7625798722045;49931,375
"05120";"Remscheid, Stadt";275;144,652461818182;39779,427
"05122";"Solingen, Klingenstadt";535;40,7025719626168;21775,876
"05124";"Wuppertal, Stadt";825;269,0526;221968,395
"05154";"Kleve";4078;81,7021694458068;333181,447
"05158";"Mettmann";1988;25,1860251509054;50069,818
"05162";"Rhein-Kreis Neuss";2150;60,8372037209302;130799,988
"05166";"Viersen";2064;42,0693037790698;86831,043
"05170";"Wesel";3666;76,7167416803055;281243,575
"05314";"Bonn, Stadt";661;12,615343419062;8338,742
"05315";"Köln, Stadt";1042;117,360608445298;122289,754
"05316";"Leverkusen, Stadt";320;138,1308375;44201,868
"05334";"Städteregion Aachen";2456;85,3352654723127;209583,412
"05358";"Düren";2123;113,55560715968;241078,554
"05362";"Rhein-Erft-Kreis";1957;117,348738375064;229651,481
"05366";"Euskirchen";1633;78,3481083894672;127942,461
"05370";"Heinsberg";1757;91,8180358565737;161324,289
"05374";"Oberbergischer Kreis";1494;22,5218634538153;33647,664
"05378";"Rheinisch-Bergischer Kreis";1200;64,4133641666667;77296,037
"05382";"Rhein-Sieg-Kreis";2666;31,8630423855964;84946,871
"05512";"Bottrop, Stadt";866;67,8415300230947;58750,765
"05513";"Gelsenkirchen, Stadt";487;108,585648870637;52881,211
"05515";"Münster, Stadt";1228;165,992466612378;203838,749
"05554";"Borken";7245;81,6375810904072;591464,275
"05558";"Coesfeld";3401;45,2329185533667;153837,156
"05562";"Recklinghausen";3996;64,1728938938939;256434,884
"05566";"Steinfurt";5427;101,140365948038;548888,766
"05570";"Warendorf";3616;74,9309115044248;270950,176
"05711";"Bielefeld, Stadt";730;43,8962424657534;32044,257
"05754";"Gütersloh";4589;64,4025779036827;295543,43
"05758";"Herford";1006;52,1374990059642;52450,324
"05762";"Höxter";2152;130,812900092937;281509,361
"05766";"Lippe";1994;53,1099518555667;105901,244
"05770";"Minden-Lübbecke";3105;316,374423832528;982342,586
"05774";"Paderborn";3479;146,242532049439;508777,769
"05911";"Bochum, Stadt";792;94,1598560606061;74574,606
"05913";"Dortmund, Stadt";1823;33,729591881514;61489,046
"05914";"Hagen, Stadt der FernUniversität";389;737,351596401028;286829,771
"05915";"Hamm, Stadt";1460;603,955478082192;881774,998
"05916";"Herne, Stadt";111;9,3332972972973;1035,996
"05954";"Ennepe-Ruhr-Kreis";1392;350,606392241379;488044,098
"05958";"Hochsauerlandkreis";1658;52,8716513872135;87661,198
"05962";"Märkischer Kreis";1809;178,159008291874;322289,646
"05966";"Olpe";915;216,69422295082;198275,214
"05970";"Siegen-Wittgenstein";983;77,0756134282808;75765,328
"05974";"Soest";3136;46,4313242984694;145608,633
"05978";"Unna";2393;361,290632678646;864568,484
"06411";"Darmstadt, Wissenschaftsstadt";233;573,001738197425;133509,405
"06412";"Frankfurt am Main, Stadt";673;780,399518573551;525208,876
"06413";"Offenbach am Main, Stadt";111;20,7827027027027;2306,88
"06414";"Wiesbaden, Landeshauptstadt";529;61,4752759924386;32520,421
"06431";"Bergstraße";1628;58,4582751842752;95170,072
"06432";"Darmstadt-Dieburg";1052;54,1675446768061;56984,257
"06433";"Groß-Gerau";859;230,827345750873;198280,69
"06434";"Hochtaunuskreis";576;31,1381979166667;17935,602
"06435";"Main-Kinzig-Kreis";4372;70,3073325709058;307383,658
"06436";"Main-Taunus-Kreis";606;41,2218151815182;24980,42
"06437";"Odenwaldkreis";353;160,628861189802;56701,988
"06438";"Offenbach";1516;19,485901055409;29540,626
"06439";"Rheingau-Taunus-Kreis";740;83,7676689189189;61988,075
"06440";"Wetteraukreis";2763;93,9709391965255;259641,705
"06531";"Gießen";2654;62,0020512434062;164553,444
"06532";"Lahn-Dill-Kreis";2116;57,1426630434783;120913,875
"06533";"Limburg-Weilburg";934;89,7630321199143;83838,672
"06534";"Marburg-Biedenkopf";2201;82,2303661971831;180989,036
"06535";"Vogelsbergkreis";1566;171,682611111111;268854,969
"06611";"Kassel, documenta-Stadt";858;26,3731538461538;22628,166
"06631";"Fulda";4884;45,172075962326;220620,419
"06632";"Hersfeld-Rotenburg";1872;81,5899284188034;152736,346
"06633";"Kassel";2780;90,4422949640288;251429,58
"06634";"Schwalm-Eder-Kreis";3102;55,2708691166989;171450,236
"06635";"Waldeck-Frankenberg";2208;63,1035153985507;139332,562
"06636";"Werra-Meißner-Kreis";1523;62,6513276428102;95417,972
"07111";"Koblenz, kreisfreie Stadt";419;27,8789474940334;11681,279
"07131";"Ahrweiler";744;38,8948266129032;28937,751
"07132";"Altenkirchen (Westerwald)";859;41,3435378346915;35514,099
"07133";"Bad Kreuznach";906;140,237962472406;127055,594
"07134";"Birkenfeld";463;99,5467710583153;46090,155
"07135";"Cochem-Zell";740;76,3094202702703;56468,971
"07137";"Mayen-Koblenz";1640;29,5624;48482,336
"07138";"Neuwied";1031;27,7395053346266;28599,43
"07140";"Rhein-Hunsrück-Kreis";1304;397,786364263804;518713,419
"07141";"Rhein-Lahn-Kreis";547;28,2109140767824;15431,37
"07143";"Westerwaldkreis";1841;105,114325909832;193515,474
"07211";"Trier, kreisfreie Stadt";294;64,8262108843537;19058,906
"07231";"Bernkastel-Wittlich";1090;156,88861559633;171008,591
"07232";"Eifelkreis Bitburg-Prüm";1261;174,411220459952;219932,549
"07233";"Vulkaneifel";641;127,248180967239;81566,084
"07235";"Trier-Saarburg";1017;94,0201435594887;95618,486
"07311";"Frankenthal (Pfalz), kreisfreie Stadt";140;27,1393285714286;3799,506
"07312";"Kaiserslautern, kreisfreie Stadt";357;111,646756302521;39857,892
"07313";"Landau in der Pfalz, kreisfreie Stadt";435;38,1831126436782;16609,654
"07314";"Ludwigshafen am Rhein, kreisfreie Stadt";318;123,301867924528;39209,994
"07315";"Mainz, kreisfreie Stadt";376;53,9216223404255;20274,53
"07316";"Neustadt an der Weinstraße, kreisfreie Stadt";291;27,7002439862543;8060,771
"07317";"Pirmasens, kreisfreie Stadt";121;94,5850330578512;11444,789
"07318";"Speyer, kreisfreie Stadt";512;20,197626953125;10341,185
"07319";"Worms, kreisfreie Stadt";548;91,889102189781;50355,228
"07320";"Zweibrücken, kreisfreie Stadt";591;15,0640016920474;8902,825
"07331";"Alzey-Worms";2215;95,3470203160271;211193,65
"07332";"Bad Dürkheim";1446;47,2587005532503;68336,081
"07333";"Donnersbergkreis";776;228,842914948454;177582,102
"07334";"Germersheim";811;132,036205918619;107081,363
"07335";"Kaiserslautern";831;70,5661516245487;58640,472
"07336";"Kusel";478;185,446173640167;88643,271
"07337";"Südliche Weinstraße";1223;47,8264399018806;58491,736
"07338";"Rhein-Pfalz-Kreis";1246;61,8220802568218;77030,312
"07339";"Mainz-Bingen";2431;43,9478465651995;106837,215
"07340";"Südwestpfalz";738;207,375352303523;153043,01
"08111";"Stuttgart, Stadtkreis";1425;49,3991929824561;70393,85
"08115";"Böblingen";2517;77,1271779896702;194129,107
"08116";"Esslingen";2858;21,0394461161652;60130,737
"08117";"Göppingen";2592;33,3036327160494;86323,016
"08118";"Ludwigsburg";2932;23,8572523874488;69949,464
"08119";"Rems-Murr-Kreis";2405;26,3373347193347;63341,29
"08121";"Heilbronn, Stadtkreis";756;57,6237314814815;43563,541
"08125";"Heilbronn";3060;44,4187287581699;135921,31
"08126";"Hohenlohekreis";1501;40,4174636908728;60666,613
"08127";"Schwäbisch Hall";4615;45,7918249187432;211329,272
"08128";"Main-Tauber-Kreis";3494;98,8546565540927;345398,17
"08135";"Heidenheim";1863;57,6535979602791;107408,653
"08136";"Ostalbkreis";7073;37,8722247985296;267870,246
"08211";"Baden-Baden, Stadtkreis";502;30,2289860557769;15174,951
"08212";"Karlsruhe, Stadtkreis";639;182,825176838811;116825,288
"08215";"Karlsruhe";3890;24,3684889460154;94793,422
"08216";"Rastatt";1931;25,5464127395132;49330,123
"08221";"Heidelberg, Stadtkreis";315;67,6097841269841;21297,082
"08222";"Mannheim, Stadtkreis";652;35,5250889570552;23162,358
"08225";"Neckar-Odenwald-Kreis";2225;62,3704638202247;138774,282
"08226";"Rhein-Neckar-Kreis";3304;33,8268780266344;111764,005
"08231";"Pforzheim, Stadtkreis";497;186,873098591549;92875,93
"08235";"Calw";1447;46,6874892881824;67556,797
"08236";"Enzkreis";1808;17,9329491150442;32422,772
"08237";"Freudenstadt";1771;23,2578385093168;41189,632
"08311";"Freiburg im Breisgau, Stadtkreis";672;61,3150193452381;41203,693
"08315";"Breisgau-Hochschwarzwald";2181;96,8037175607519;211128,908
"08316";"Emmendingen";2848;65,8958542837079;187671,393
"08317";"Ortenaukreis";4965;49,0582177240685;243574,051
"08325";"Rottweil";2612;46,1887140122511;120644,921
"08326";"Schwarzwald-Baar-Kreis";1983;34,9032884518406;69213,221
"08327";"Tuttlingen";1713;40,9449918272037;70138,771
"08335";"Konstanz";2877;30,193700729927;86867,277
"08336";"Lörrach";1090;153,972014678899;167829,496
"08337";"Waldshut";1690;29,262349112426;49453,37
"08415";"Reutlingen";3378;28,5557270574304;96461,246
"08416";"Tübingen";2727;34,0814400440044;92940,087
"08417";"Zollernalbkreis";2456;21,386740228013;52525,834
"08421";"Ulm, Stadtkreis";1273;40,0835962293794;51026,418
"08425";"Alb-Donau-Kreis";5632;62,3843135653409;351348,454
"08426";"Biberach";6151;118,083822305316;726333,591
"08435";"Bodenseekreis";3057;84,7209028459274;258991,8
"08436";"Ravensburg";6300;75,4025766666667;475036,233
"08437";"Sigmaringen";2902;68,3167460372157;198255,197
"09161";"Ingolstadt";1161;15,8166528854436;18363,134
"09162";"München, Landeshauptstadt";1366;551,015997071742;752687,852
"09163";"Rosenheim";360;14,507275;5222,619
"09171";"Altötting";2238;48,5544597855228;108664,881
"09172";"Berchtesgadener Land";864;49,7364502314815;42972,293
"09173";"Bad Tölz-Wolfratshausen";607;33,1839373970346;20142,65
"09174";"Dachau";1422;42,9284894514768;61044,312
"09175";"Ebersberg";1015;27,5591133004926;27972,5
"09176";"Eichstätt";1460;92,0422417808219;134381,673
"09177";"Erding";2486;38,5037980691874;95720,442
"09178";"Freising";1802;42,4264467258602;76452,457
"09179";"Fürstenfeldbruck";1616;35,1506540841584;56803,457
"09180";"Garmisch-Partenkirchen";772;37,2638950777202;28767,727
"09181";"Landsberg am Lech";1119;53,8488686327078;60256,884
"09182";"Miesbach";807;139,802607187113;112820,704
"09183";"Mühldorf a.Inn";2444;36,0114112111293;88011,889
"09184";"München";1386;305,278895382395;423116,549
"09185";"Neuburg-Schrobenhausen";1132;32,2880503533569;36550,073
"09186";"Pfaffenhofen a.d.Ilm";1377;46,5111307189542;64045,827
"09187";"Rosenheim";2961;66,3663218507261;196510,679
"09188";"Starnberg";766;18,3444582245431;14051,855
"09189";"Traunstein";2872;43,7642524373259;125690,933
"09190";"Weilheim-Schongau";1210;36,714667768595;44424,748
"09261";"Landshut";881;75,3180181611805;66355,174
"09262";"Passau";438;31,1496438356164;13643,544
"09263";"Straubing";784;30,5496887755102;23950,956
"09271";"Deggendorf";2538;36,3415208825847;92234,78
"09272";"Freyung-Grafenau";1430;61,8754839160839;88481,942
"09273";"Kelheim";2645;60,4600419659735;159916,811
"09274";"Landshut";4007;46,7432897429498;187300,362
"09275";"Passau";3783;33,6492757071108;127295,21
"09276";"Regen";1238;27,9721179321486;34629,482
"09277";"Rottal-Inn";2798;39,8442505360972;111484,213
"09278";"Straubing-Bogen";3808;37,1583886554622;141499,144
"09279";"Dingolfing-Landau";3544;45,1171518058691;159895,186
"09361";"Amberg";403;27,2759925558313;10992,225
"09362";"Regensburg";576;39,1640625;22558,5
"09363";"Weiden i.d.OPf.";505;29,0178059405941;14653,992
"09371";"Amberg-Sulzbach";1319;46,7391766489765;61648,974
"09372";"Cham";3430;28,102010787172;96389,897
"09373";"Neumarkt i.d.OPf.";1741;128,931935669156;224470,5
"09374";"Neustadt a.d.Waldnaab";1566;46,9677088122605;73551,432
"09375";"Regensburg";3132;35,8590715197957;112310,612
"09376";"Schwandorf";2160;44,0495763888889;95147,085
"09377";"Tirschenreuth";1138;59,2003910369069;67370,045
"09461";"Bamberg";451;20,3869844789357;9194,53
"09462";"Bayreuth";221;47,8575837104072;10576,526
"09463";"Coburg";264;40,0138712121212;10563,662
"09464";"Hof";147;115,753843537415;17015,815
"09471";"Bamberg";1268;88,6768706624606;112442,272
"09472";"Bayreuth";1386;81,2691536796537;112639,047
"09473";"Coburg";1561;59,8825413196669;93476,647
"09474";"Forchheim";1311;36,5194935163997;47877,056
"09475";"Hof";979;287,527934627171;281489,848
"09476";"Kronach";418;66,8023660287081;27923,389
"09477";"Kulmbach";762;180,130531496063;137259,465
"09478";"Lichtenfels";534;105,034406367041;56088,373
"09479";"Wunsiedel i.Fichtelgebirge";807;91,4064163568773;73764,978
"09561";"Ansbach";472;54,7310783898305;25833,069
"09562";"Erlangen";985;14,1012020304569;13889,684
"09563";"Fürth";735;19,7723265306122;14532,66
"09564";"Nürnberg";578;97,7615017301038;56506,148
"09565";"Schwabach";178;63,4258764044944;11289,806
"09571";"Ansbach";2763;102,83339630836;284128,674
"09572";"Erlangen-Höchstadt";1376;40,32134375;55482,169
"09573";"Fürth";941;28,5150393198725;26832,652
"09574";"Nürnberger Land";918;46,4386459694989;42630,677
"09575";"Neustadt a.d.Aisch-Bad Windsheim";1726;58,9860359212051;101809,898
"09576";"Roth";1255;85,7430860557769;107607,573
"09577";"Weißenburg-Gunzenhausen";1688;88,9963311611374;150225,807
"09661";"Aschaffenburg";173;25,8876589595376;4478,565
"09662";"Schweinfurt";304;113,193483552632;34410,819
"09663";"Würzburg";422;124,943232227488;52726,044
"09671";"Aschaffenburg";1197;47,6975513784461;57093,969
"09672";"Bad Kissingen";1095;110,056943378995;120512,353
"09673";"Rhön-Grabfeld";1555;70,4810977491961;109598,107
"09674";"Haßberge";1052;119,370544676806;125577,813
"09675";"Kitzingen";1229;68,2126021155411;83833,288
"09676";"Miltenberg";871;45,7945051664753;39887,014
"09677";"Main-Spessart";1445;77,9378124567474;112620,139
"09678";"Schweinfurt";1378;46,1546661828737;63601,13
"09679";"Würzburg";2099;64,0390285850405;134417,921
"09761";"Augsburg";517;177,788245647969;91916,523
"09762";"Kaufbeuren";533;320,512954971857;170833,405
"09763";"Kempten (Allgäu)";435;54,0178298850575;23497,756
"09764";"Memmingen";121;28,1821652892562;3410,042
"09771";"Aichach-Friedberg";1171;49,035048676345;57420,042
"09772";"Augsburg";1440;83,2754104166667;119916,591
"09773";"Dillingen a.d.Donau";2822;50,5090588235294;142536,564
"09774";"Günzburg";1216;80,3260411184211;97676,466
"09775";"Neu-Ulm";2269;53,639673424416;121708,419
"09776";"Lindau (Bodensee)";980;15,683187755102;15369,524
"09777";"Ostallgäu";2170;44,6914225806452;96980,387
"09778";"Unterallgäu";1529;62,1753420536298;95066,098
"09779";"Donau-Ries";1806;83,8449994462901;151424,069
"09780";"Oberallgäu";2772;26,3331663059163;72995,537
"10041";"Regionalverband Saarbrücken";806;288,296951612903;232367,343
"10042";"Merzig-Wadern";1211;65,9971824938068;79922,588
"10043";"Neunkirchen";1394;68,3030416068867;95214,44
"10044";"Saarlouis";2046;45,4961935483871;93085,212
"10045";"Saarpfalz-Kreis";1279;49,5523917122752;63377,509
"10046";"St. Wendel";1110;119,167753153153;132276,206
"11000";"Berlin, Stadt";2251;193,440285206575;435434,082
"12051";"Brandenburg an der Havel, Stadt";240;774,1288875;185790,933
"12052";"Cottbus, Stadt";390;372,643038461538;145330,785
"12053";"Frankfurt (Oder), Stadt";91;114,283516483516;10399,8
"12054";"Potsdam, Stadt";235;383,695595744681;90168,465
"12060";"Barnim";727;328,804931224209;239041,185
"12061";"Dahme-Spreewald";1045;366,545466028708;383040,012
"12062";"Elbe-Elster";1007;430,796166832175;433811,74
"12063";"Havelland";731;182,875919288646;133682,297
"12064";"Märkisch-Oderland";1102;323,875040834846;356910,295
"12065";"Oberhavel";883;235,460293318233;207911,439
"12066";"Oberspreewald-Lausitz";709;422,98061212976;299893,254
"12067";"Oder-Spree";878;380,101089977221;333728,757
"12068";"Ostprignitz-Ruppin";536;606,825052238806;325258,228
"12069";"Potsdam-Mittelmark";1096;157,656350364964;172791,36
"12070";"Prignitz";653;555,706119448698;362876,096
"12071";"Spree-Neiße";858;5648,16634265734;4846126,722
"12072";"Teltow-Fläming";1092;508,689554029304;555488,993
"12073";"Uckermark";831;872,9503188929;725421,715
"13003";"Rostock";349;31,9093925501433;11136,378
"13004";"Schwerin";96;806,865822916667;77459,119
"13071";"Mecklenburgische Seenplatte";1131;509,587749778957;576343,745
"13072";"Landkreis Rostock";921;482,790168295331;444649,745
"13073";"Vorpommern-Rügen";908;402,370690528634;365352,587
"13074";"Nordwestmecklenburg";559;238,986459749553;133593,431
"13075";"Vorpommern-Greifswald";1020;394,327660784314;402214,214
"13076";"Ludwigslust-Parchim";1140;423,451770175439;482735,018
"14511";"Chemnitz, Stadt";418;401,85843062201;167976,824
"14521";"Erzgebirgskreis";1270;56,6832291338583;71987,701
"14522";"Mittelsachsen";1518;169,948367588933;257981,622
"14523";"Vogtlandkreis";941;76,8636227417641;72328,669
"14524";"Zwickau";1126;77,0597673179396;86769,298
"14612";"Dresden, Stadt";693;61,5594906204906;42660,727
"14625";"Bautzen";1184;176,744798986487;209265,842
"14626";"Görlitz";789;3301,78874144487;2605111,317
"14627";"Meißen";992;236,447173387097;234555,596
"14628";"Sächsische Schweiz-Osterzgebirge";988;61,1057115384615;60372,443
"14713";"Leipzig, Stadt";792;85,7936944444444;67948,606
"14729";"Leipzig";1420;737,921745070423;1047848,878
"14730";"Nordsachsen";1234;185,296692058347;228656,118
"15001";"Dessau-Roßlau, Stadt";216;326,930712962963;70617,034
"15002";"Halle (Saale), Stadt";243;277,366008230453;67399,94
"15003";"Magdeburg, Landeshauptstadt";648;49,7473395061728;32236,276
"15081";"Altmarkkreis Salzwedel";713;390,80113884993;278641,212
"15082";"Anhalt-Bitterfeld";809;266,996092707046;215999,839
"15083";"Börde";905;415,121912707182;375685,331
"15084";"Burgenlandkreis";960;330,786289583333;317554,838
"15085";"Harz";861;216,847174216028;186705,417
"15086";"Jerichower Land";500;275,846864;137923,432
"15087";"Mansfeld-Südharz";921;322,653770901194;297164,123
"15088";"Saalekreis";996;199,168174698795;198371,502
"15089";"Salzlandkreis";976;494,742365778689;482868,549
"15090";"Stendal";631;549,401510301109;346672,353
"15091";"Wittenberg";784;326,91169005102;256298,765
"16051";"Erfurt, Stadt";680;212,522363235294;144515,207
"16052";"Gera, Stadt";294;227,370738095238;66846,997
"16053";"Jena, Stadt";252;86,5100515873016;21800,533
"16054";"Suhl, Stadt";156;110,754897435897;17277,764
"16055";"Weimar, Stadt";111;122,25463963964;13570,265
"16056";"Eisenach, Stadt";142;579,773492957746;82327,836
"16061";"Eichsfeld";546;149,960291208791;81878,319
"16062";"Nordhausen";324;266,679793209877;86404,253
"16063";"Wartburgkreis";653;152,079016845329;99307,598
"16064";"Unstrut-Hainich-Kreis";511;144,238913894325;73706,085
"16065";"Kyffhäuserkreis";372;349,003647849462;129829,357
"16066";"Schmalkalden-Meiningen";689;102,794910014514;70825,693
"16067";"Gotha";698;183,637505730659;128178,979
"16068";"Sömmerda";339;409,069554572271;138674,579
"16069";"Hildburghausen";326;105,963297546012;34544,035
"16070";"Ilm-Kreis";474;72,5869831223629;34406,23
"16071";"Weimarer Land";545;178,709805504587;97396,844
"16072";"Sonneberg";183;70,0485300546448;12818,881
"16073";"Saalfeld-Rudolstadt";324;73,8398734567901;23924,119
"16074";"Saale-Holzland-Kreis";467;237,717222698073;111013,943
"16075";"Saale-Orla-Kreis";370;297,092702702703;109924,3
"16076";"Greiz";390;197,767769230769;77129,43
"16077";"Altenburger Land";493;308,883434077079;152279,533
NA;NA;833;5259,81512605042;4381426
